id,model_locus,model_specificity
0,exclude,generic
1,exclude,named_no_number
2,individual,named_no_number
3,individual,named_no_number
4,individual,named_no_number
5,individual,named_no_number
6,individual,named_no_number
7,individual,named_no_number
8,individual,named_no_number
9,individual,named_no_number
10,individual,named_no_number
11,individual,named_no_number
12,individual,named_no_number
13,individual,named_no_number
14,individual,named_no_number
15,individual,named_no_number
16,individual,named_no_number
17,individual,named_no_number
18,structural,named_no_number
19,individual,named_no_number
20,individual,named_no_number
21,individual,named_no_number
22,individual,named_no_number
23,structural,named_no_number
24,structural,named_no_number
25,structural,named_no_number
26,structural,named_no_number
27,structural,named_no_number
28,structural,named_no_number
29,structural,named_no_number
30,structural,named_no_number
31,structural,named_no_number
32,individual,named_no_number
33,exclude,named_no_number
34,individual,named_no_number
35,individual,named_no_number
36,individual,named_no_number
37,individual,named_no_number
38,individual,named_no_number
39,structural,enumerated_number
40,individual,named_no_number
41,structural,enumerated_number
42,structural,enumerated_number
43,individual,enumerated_number
44,individual,named_no_number
45,individual,named_no_number
46,ambiguous,named_no_number
47,individual,named_no_number
48,individual,named_no_number
49,structural,enumerated_number
50,individual,named_no_number
51,individual,named_no_number
52,ambiguous,named_no_number
53,structural,enumerated_number
54,individual,named_no_number
55,individual,named_no_number
56,ambiguous,named_no_number
57,structural,named_no_number
58,ambiguous,named_no_number
59,individual,named_no_number
60,structural,enumerated_number
61,structural,enumerated_number
62,individual,named_no_number
63,structural,enumerated_number
64,individual,enumerated_number
65,individual,named_no_number
66,individual,enumerated_number
67,structural,enumerated_number
68,structural,enumerated_number
69,individual,enumerated_number
70,individual,named_no_number
71,individual,enumerated_number
72,structural,named_no_number
73,individual,named_no_number
74,ambiguous,named_no_number
75,individual,enumerated_number
76,individual,named_no_number
77,individual,named_no_number
78,exclude,named_no_number
79,individual,enumerated_number
80,individual,enumerated_number
81,individual,named_no_number
82,individual,named_no_number
83,structural,named_no_number
84,individual,enumerated_number
85,exclude,generic
86,ambiguous,generic
87,structural,named_no_number
88,exclude,named_no_number
89,exclude,enumerated_number
90,individual,named_no_number
